PIPELINE-REFERENCE,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,ISO NO,SPOOL-DRAWING-SEQUENCE-NUMBER,SPOOL-ID,SCHEDULE,,Spool-Size-Weld-Spec,
64778-P1B43BL-3,4-Mar,FA16,BW,P1B43BL,1172,1172-3,3-7114-1172-3,10S,,1172-343894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA17,BW,P1B43BL,1172,1172-4,3-7114-1172-4,10S,,1172-443894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA18,BW,P1B43BL,1172,1172-4,3-7114-1172-4,10S,,1172-443894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA19,BW,P1B43BL,1172,1172-5,3-7114-1172-5,10S,,1172-543894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA20,BW,P1B43BL,1172,1172-5,3-7114-1172-5,10S,,1172-543894BWP1B43BL,#N/A
65442-P1B43BL-3,4-Mar,FA34,SOF,P1B43BL,1176,1176-2,3-7114-1176-2,,,1176-243894SOFP1B43BL,#N/A
65442-P1B43BL-3,4-Mar,FA32,BW,P1B43BL,1176,1176-2,3-7114-1176-2,10S,,1176-243894BWP1B43BL,#N/A
65442-P1B43BL-3,4-Mar,FA33,SOF,P1B43BL,1176,1176-2,3-7114-1176-2,,,1176-243894SOFP1B43BL,#N/A
64834-P1A109J-3,4-Mar,FA18,SW,P1A109J,1269,1269-2,3-7114-1269-2,,,1269-243894SWP1A109J,#N/A
64834-P1A109J-3,4-Mar,FA19,SW,P1A109J,1269,1269-2,3-7114-1269-2,,,1269-243894SWP1A109J,#N/A
64834-P1A109J-3,4-Mar,FA22,SW,P1A109J,1269,1269-1,3-7114-1269-1,,,1269-143894SWP1A109J,#N/A
64834-P1A109J-3,4-Mar,FA21,SW,P1A109J,1269,1269-1,3-7114-1269-1,,,1269-143894SWP1A109J,#N/A
64834-P1A109J-3,4-Mar,FA20,SW,P1A109J,1269,1269-1,3-7114-1269-1,,,1269-143894SWP1A109J,#N/A
64834-P1A109J-3,4-Mar,FA24,SW,P1A109J,1270,1270-1,3-7114-1270-1,,,1270-143894SWP1A109J,#N/A
64834-P1A109J-3,4-Mar,FA23,SW,P1A109J,1270,1270-1,3-7114-1270-1,,,1270-143894SWP1A109J,#N/A
65351-P1B43BL-3,4-Mar,FA13,OLET,P1B43BL,1271,1271-3,3-7114-1271-3,,,1271-343894OLETP1B43BL,#N/A
65351-P1B43BL-3,4-Mar,FA14,BW,P1B43BL,1271,1271-3,3-7114-1271-3,10S,,1271-343894BWP1B43BL,#N/A
65351-P1B43BL-3,4-Mar,FA15,SOF,P1B43BL,1271,1271-3,3-7114-1271-3,,,1271-343894SOFP1B43BL,#N/A
65351-P1B43BL-3,4-Mar,FA16,SOF,P1B43BL,1271,1271-3,3-7114-1271-3,,,1271-343894SOFP1B43BL,#N/A
65355-P1A109J-3,4-Mar,FA2,SW,P1A109J,1274,1274-1,3-7114-1274-1,,,1274-143894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA8,SW,P1A109J,1274,1274-1,3-7114-1274-1,,,1274-143894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA7,SW,P1A109J,1274,1274-1,3-7114-1274-1,,,1274-143894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA6,SW,P1A109J,1274,1274-1,3-7114-1274-1,,,1274-143894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA5,SW,P1A109J,1274,1274-1,3-7114-1274-1,,,1274-143894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA3,SW,P1A109J,1274,1274-1,3-7114-1274-1,,,1274-143894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA1,SW,P1A109J,1274,1274-1,3-7114-1274-1,,,1274-143894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA4,SW,P1A109J,1274,1274-1,3-7114-1274-1,,,1274-143894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA14,SW,P1A109J,1274,1274-2,3-7114-1274-2,,,1274-243894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA9,SW,P1A109J,1274,1274-2,3-7114-1274-2,,,1274-243894SWP1A109J,#N/A
65355-P1A109J-3,4-Mar,FA10,SW,P1A109J,1274,1274-2,3-7114-1274-2,,,1274-243894SWP1A109J,#N/A
