spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
27-3,MK-000-P-9028-72-3,CS,2/20/2020,,1,70,27,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/17/2020,3/5/2020,3/6/2020,3/23/2020,32,7,2,6,11,6,23,5,1,,,
28-1,MK-000-S5-9407-70-1,CS,2/18/2020,,1,70,28,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/28/2020,3/19/2020,30,3,2,5,18,2,25,,,,,
29-1,MK-000-WF-9740-70-1,CS,2/6/2020,,1,70,29,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/9/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,3,5,18,2,25,,,,,
30-1,MK-000-WF-9746-70-1,CS,2/14/2020,,1,70,30,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/16/2020,,,2/25/2020,3/19/2020,34,1,1,9,,,32,,,,,
31-1,MK-000-WF-9762-71-1,CS,2/20/2020,,1,70,31,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/6/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,21,11,4,6,10,,6,5,1,,,
32-1,MK-000-WF-9762-72-1,CS,2/13/2020,,1,70,32,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/18/2020,,,2/25/2020,3/19/2020,35,2,3,7,,,30,,,,,
33-1,MK-000-NI-9462-70-1,CS,2/18/2020,,1,70,33,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/21/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,0,3,4,14,3,21,4,0,,,
33-2,MK-000-NI-9462-70-2,CS,2/6/2020,,1,70,33,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/8/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,2,6,18,2,26,,,,,
34-1,MK-000-NI-9462-71-1,CS,2/18/2020,,1,70,34,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,1,5,19,2,26,,,,,
34-2,MK-000-NI-9462-71-2,CS,2/6/2020,,1,70,34,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/8/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,2,6,18,2,26,,,,,
35-1,MK-000-NI-9462-72-1,CS,2/27/2020,,1,70,35,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/4/2020,3/23/2020,,3/11/2020,3/23/2020,25,3,3,7,12,0,19,,,,,
36-1,MK-000-NI-9465-41-1,CS,2/18/2020,,2,40,36,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/23/2020,2/26/2020,3/17/2020,,3/4/2020,3/19/2020,30,5,3,7,13,2,22,,,,,
36-2,MK-000-NI-9465-41-2,CS,2/6/2020,,2,40,36,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/7/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,1,7,18,2,27,,,,,
36-3,MK-000-NI-9465-41-3,CS,2/18/2020,,2,40,36,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/23/2020,2/27/2020,3/19/2020,,3/4/2020,3/20/2020,31,5,4,6,15,1,22,,,,,
36-4,MK-000-NI-9465-41-4,CS,2/6/2020,,2,40,36,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/9/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,3,5,18,2,25,,,,,
36-5,MK-000-NI-9465-41-5,CS,2/6/2020,,2,40,36,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/7/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,1,7,18,2,27,,,,,
37-1,MK-000-NI-9465-42-1,CS,2/27/2020,,2,40,37,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/7/2020,3/25/2020,,3/11/2020,3/26/2020,28,3,6,4,14,1,19,,,,,
38-1,MK-000-NI-9623-70-1,CS,2/11/2020,,1,70,38,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/13/2020,,,2/25/2020,3/19/2020,37,2,0,12,,,35,,,,,
38-2,MK-000-NI-9623-70-2,CS,2/6/2020,,1,70,38,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/8/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,2,6,18,2,26,,,,,
39-1,MK-000-NI-9627-41-1,CS,2/27/2020,,2,40,39,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/4/2020,3/23/2020,,3/11/2020,3/23/2020,25,3,3,7,12,0,19,,,,,
40-1,MK-000-NI-9627-42-1,CS,2/18/2020,,2,40,40,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/20/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,0,2,5,14,3,22,5,0,,,
41-1,MK-000-NI-9698-70-1,CS,3/4/2020,,1,70,41,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/9/2020,3/10/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,26,5,1,7,9,4,20,3,4,,,
42-1,MK-000-P-9011-70-1,CS,2/20/2020,,1,70,42,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/4/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,21,6,7,8,10,,8,7,1,,,
42-2,MK-000-P-9011-70-2,CS,2/11/2020,,1,70,42,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/14/2020,,,2/25/2020,3/19/2020,37,2,1,11,,,34,,,,,
42-3,MK-000-P-9011-70-3,CS,2/11/2020,,1,70,42,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/14/2020,,,2/25/2020,3/19/2020,37,2,1,11,,,34,,,,,
43-1,MK-000-P-9024-70-1,CS,2/18/2020,,1,70,43,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,2,4,19,2,25,,,,,
44-1,MK-000-P-9025-70-1,CS,2/18/2020,,1,70,44,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,3/17/2020,,2/27/2020,3/19/2020,30,1,1,7,19,2,28,,,,,
45-1,MK-000-P-9028-71-1,CS,2/18/2020,,1,70,45,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/28/2020,3/19/2020,,3/6/2020,3/20/2020,31,4,6,7,13,1,21,,,,,
46-1,MK-000-P-9029-70-1,CS,2/18/2020,,1,70,46,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/21/2020,,,2/25/2020,3/19/2020,30,1,2,4,,,27,,,,,
47-1,MK-000-P-9151-70-1,CS,2/11/2020,,1,70,47,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/15/2020,,,2/25/2020,3/19/2020,37,2,2,10,,,33,,,,,
48-1,MK-000-P-9151-71-1,CS,3/4/2020,,1,70,48,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/10/2020,3/23/2020,,3/13/2020,4/1/2020,28,1,5,3,10,9,22,,,,,
49-1,MK-000-POWS-9741-70-1,CS,2/24/2020,,1,70,49,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/4/2020,3/23/2020,,3/11/2020,3/23/2020,28,3,6,7,12,0,19,,,,,
50-1,MK-000-POWS-9742-70-1,CS,2/6/2020,,1,70,50,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/8/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,2,6,18,2,26,,,,,
51-1,MK-000-POWS-9743-70-1,CS,2/18/2020,,1,70,51,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/24/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,3,9,13,2,24,,,,,
51-2,MK-000-POWS-9743-70-2,CS,2/18/2020,,1,70,51,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
52-1,MK-000-POWS-9744-70-1,CS,2/24/2020,,1,70,52,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/19/2020,,3/4/2020,3/20/2020,25,3,2,4,15,1,20,,,,,
53-1,MK-000-POWS-9745-70-1,CS,2/18/2020,,1,70,53,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/24/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,3,3,19,2,24,,,,,
54-1,MK-000-S5-9407-71-1,CS,2/11/2020,,1,70,54,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/14/2020,,,2/25/2020,3/19/2020,37,2,1,11,,,34,,,,,
55-1,MK-000-S5-9624-70-1,CS,2/27/2020,,1,70,55,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/6/2020,3/23/2020,,3/11/2020,3/23/2020,25,3,5,5,12,0,17,,,,,
55-2,MK-000-S5-9624-70-2,CS,2/6/2020,,1,70,55,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/9/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,3,5,18,2,25,,,,,
55-3,MK-000-S5-9624-70-3,CS,2/6/2020,,1,70,55,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/7/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,1,7,18,2,27,,,,,
56-1,MK-000-S5-9624-71-1,CS,2/26/2020,,1,70,56,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/8/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,33,2,9,9,9,4,22,5,4,,,
57-1,MK-000-WS-9156-30-1,SS,2/25/2020,,3,30,57,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/10/2020,,3/10/2020,3/11/2020,3/30/2020,34,1,13,1,,,20,0,1,,,
57-1A,MK-000-WS-9156-30-1A,SS,2/25/2020,,3,30,57,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/5/2020,,3/10/2020,3/11/2020,3/30/2020,34,1,8,6,,,25,5,1,,,
58-1,MK-000-WS-9156-31-1,SS,2/11/2020,,3,30,58,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,,3/10/2020,3/11/2020,3/30/2020,48,1,7,21,,,40,20,1,,,
59-1,MK-000-WS-9156-32-1,SS,2/19/2020,,3,30,59,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/24/2020,,3/10/2020,3/11/2020,3/30/2020,40,1,4,16,,,35,15,1,,,
59-2,MK-000-WS-9156-32-2,SS,2/19/2020,,3,30,59,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/24/2020,,3/10/2020,3/11/2020,3/30/2020,40,1,4,16,,,35,15,1,,,
60-1,MK-000-WS-9156-33-1,SS,2/11/2020,,3,30,60,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,,3/10/2020,3/11/2020,3/30/2020,48,1,7,21,,,40,20,1,,,
61-1,MK-000-WS-9156-34-1,SS,2/11/2020,,3,30,61,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/24/2020,,3/10/2020,3/11/2020,3/30/2020,48,1,12,16,,,35,15,1,,,
62-1,MK-000-WS-9156-35-1,SS,2/19/2020,,3,30,62,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/9/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,47,15,4,9,14,5,28,7,2,,,
62-2,MK-000-WS-9156-35-2,SS,2/19/2020,,3,30,62,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/9/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,47,15,4,9,14,5,28,7,2,,,
63-1,MK-000-WS-9156-36-1,SS,2/11/2020,,3,30,63,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,,3/10/2020,3/11/2020,3/30/2020,48,1,7,21,,,40,20,1,,,
64-1,MK-000-WS-9921-30-1,SS,2/17/2020,,3,30,64,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/21/2020,,3/10/2020,3/11/2020,3/30/2020,42,1,3,19,,,38,18,1,,,
65-1,MK-000-WS-9921-31-1,SS,2/19/2020,,3,30,65,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/9/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,47,15,4,9,14,5,28,7,2,,,
65-2,MK-000-WS-9921-31-2,SS,2/25/2020,,3,30,65,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/7/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,41,9,2,11,14,5,30,9,2,,,
66-1,MK-000-WS-9921-32-1,SS,2/17/2020,,3,30,66,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/21/2020,,3/10/2020,3/11/2020,3/30/2020,42,1,3,19,,,38,18,1,,,
67-1,MK-000-CH-9020-71-1,SS,2/17/2020,,1,70,67,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/25/2020,4/1/2020,3/16/2020,3/18/2020,4/6/2020,49,1,7,22,14,5,41,20,2,,,
67-2,MK-000-CH-9020-71-2,SS,2/6/2020,,1,70,67,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/13/2020,,3/10/2020,3/11/2020,3/30/2020,53,0,7,27,,,46,26,1,,,
68-1,MK-000-NI-9022-70-1,CS,2/13/2020,,1,70,68,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/18/2020,,,2/25/2020,3/19/2020,35,2,3,7,,,30,,,,,
69-1,MK-000-NI-9403-70-1,CS,2/25/2020,,1,70,69,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/27/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,30,1,1,12,9,7,28,11,1,,,
70-1,MK-000-NI-9465-40-1,CS,2/13/2020,,2,40,70,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/16/2020,,,2/25/2020,3/19/2020,35,2,1,9,,,32,,,,,
70-2,MK-000-NI-9465-40-2,CS,2/18/2020,,2,40,70,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,1,5,19,2,26,,,,,
71-2,MK-000-NI-9763-70-2,CS,2/6/2020,,1,70,71,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/19/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,36,13,0,6,14,3,23,6,0,,,
71-3,MK-000-NI-9763-70-3,CS,2/13/2020,,1,70,71,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/16/2020,,,2/25/2020,3/19/2020,35,2,1,9,,,32,,,,,
71-4,MK-000-NI-9763-70-4,CS,2/6/2020,,1,70,71,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/10/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,4,4,18,2,24,,,,,
72-1,MK-000-P-9027-70-1,CS,2/28/2020,,1,70,72,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/3/2020,3/23/2020,,3/13/2020,4/1/2020,33,3,1,10,10,9,29,,,,,
72-2,MK-000-P-9027-70-2,CS,2/20/2020,,1,70,72,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/17/2020,3/5/2020,3/6/2020,3/23/2020,32,7,2,6,11,6,23,5,1,,,
73-1,MK-000-P-9203-70-1,CS,2/13/2020,,1,70,73,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/17/2020,,,2/25/2020,3/19/2020,35,2,2,8,,,31,,,,,
73-2,MK-000-P-9203-70-2,CS,2/14/2020,,1,70,73,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/20/2020,3/17/2020,,2/27/2020,3/19/2020,34,1,5,7,19,2,28,,,,,
74-1,MK-000-P-9205-70-1,SS,2/6/2020,,1,70,74,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/19/2020,3/2/2020,3/16/2020,3/18/2020,4/6/2020,60,0,13,28,,35,47,26,2,,,
75-1,MK-000-P-9310-70-1,CS,2/27/2020,,1,70,75,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/2/2020,3/19/2020,,3/6/2020,3/20/2020,22,1,3,4,13,1,18,,,,,
75-2,MK-000-P-9310-70-2,CS,2/27/2020,,1,70,75,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/2/2020,3/23/2020,,3/10/2020,3/23/2020,25,1,3,8,13,0,21,,,,,
76,MK-000-P-9337-70-1,CS,2/11/2020,,1,70,76,ISS,ISS,TX,,2,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/14/2020,3/25/2020,,,3/26/2020,44,2,1,,,,,,,40,1,41
77-1,MK-000-P-9371-40-1,CS,2/13/2020,,2,40,77,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/17/2020,,,2/25/2020,3/19/2020,35,2,2,8,,,31,,,,,
78-1,MK-000-P-9378-40-1,CS,2/18/2020,,2,40,78,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/24/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,3,9,13,2,24,,,,,
78-2,MK-000-P-9378-40-2,CS,2/18/2020,,2,40,78,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
79-1,MK-000-P-9386-40-1,CS,2/18/2020,,2,40,79,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,2/28/2020,3/19/2020,30,3,1,6,18,2,26,,,,,
79-2,MK-000-P-9386-40-2,CS,2/18/2020,,2,40,79,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
80-1,MK-000-P-9389-40-1,CS,2/18/2020,,2,40,80,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/26/2020,3/17/2020,,3/4/2020,3/19/2020,30,4,4,7,13,2,22,,,,,
81-1,MK-000-P-9390-40-1,CS,2/18/2020,,2,40,81,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/25/2020,3/25/2020,,3/16/2020,3/26/2020,37,4,3,20,9,1,30,,,,,
82-1,MK-000-P-9683-40-1,CS,2/13/2020,,2,40,82,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/16/2020,,,2/25/2020,3/19/2020,35,2,1,9,,,32,,,,,
82-2,MK-000-P-9683-40-2,CS,2/18/2020,,2,40,82,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
82-3,MK-000-P-9683-40-3,CS,2/6/2020,,2,40,82,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/10/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,4,4,18,2,24,,,,,
82-4,MK-000-P-9683-40-4,CS,2/6/2020,,2,40,82,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/10/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,28,0,4,9,13,2,24,8,1,,,
83-1,MK-000-P-9686-40-1,CS,2/18/2020,,2,40,83,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/22/2020,3/17/2020,,2/28/2020,3/19/2020,30,2,2,6,18,2,26,,,,,
83-2,MK-000-P-9686-40-2,CS,2/11/2020,,2,40,83,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/14/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,3,5,13,2,20,4,1,,,
83-3,MK-000-P-9686-40-3,CS,2/18/2020,,2,40,83,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,1,6,19,2,27,,,,,
83-4,MK-000-P-9686-40-4,CS,2/24/2020,,2,40,83,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/27/2020,3/19/2020,,3/4/2020,3/20/2020,25,2,1,6,15,1,22,,,,,
84-1,MK-000-P-9915-20-1,SS,3/17/2020,,7,20,84,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/17/2020,3/19/2020,4/1/2020,,,4/6/2020,20,0,2,,,,,,,13,5,18
85-1,MK-000-P-9915-22-1,SS,3/17/2020,,7,20,85,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/17/2020,3/19/2020,4/1/2020,,,4/6/2020,20,0,2,,,,,,,13,5,18
86-1,MK-000-P-9916-20-1,SS,2/11/2020,,7,20,86,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/18/2020,,3/10/2020,3/11/2020,3/30/2020,48,1,6,22,,,41,21,1,,,
87-1,MK-000-P-9937-20-1,SS,2/11/2020,,7,20,87,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,3/3/2020,,,3/10/2020,28,1,7,,,,,,,13,7,20
88-1,MK-000-P-9938-20-1,SS,2/11/2020,,7,20,88,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,3/3/2020,,,3/10/2020,28,1,7,,,,,,,13,7,20
89-1,MK-000-P-9939-20-1,SS,2/11/2020,,7,20,89,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,3/10/2020,,,3/13/2020,31,1,7,,,,,,,20,3,23
90-1,MK-000-P-9940-20-1,SS,2/19/2020,,7,20,90,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/24/2020,3/7/2020,,,3/18/2020,28,1,4,,,,,,,12,11,23
91-1,MK-000-P-9940-22-1,SS,3/3/2020,,7,20,91,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/4/2020,3/6/2020,3/17/2020,,,3/18/2020,15,1,2,,,,,,,11,1,12
92-1,MK-000-POWS-9747-70-1,CS,2/24/2020,,1,70,92,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/19/2020,,3/4/2020,3/20/2020,25,3,2,4,15,1,20,,,,,
93-1,MK-000-POWS-9748-70-1,CS,2/18/2020,,1,70,93,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,1,11,13,2,26,,,,,
94-1,MK-000-POWS-9749-70-1,CS,2/18/2020,,1,70,94,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/25/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,4,8,13,2,23,,,,,
94-2,MK-000-POWS-9749-70-2,CS,2/19/2020,,1,70,94,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/11/2020,3/23/2020,,3/13/2020,4/1/2020,42,15,6,2,10,9,21,,,,,
95-1,MK-000-POWS-9750-70-1,CS,2/24/2020,,1,70,95,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/23/2020,,3/11/2020,3/23/2020,28,3,2,11,12,0,23,,,,,
