,,,,,,Piping Line List,,,,,,,
,,,,,,: Total Drawing,,,,,,,
,,,,,,: Total Spools,,,,,,,
,,,,,Client Name: SASOL,: Hold,,,,,,,
,,,,,Job No: 6112,: Issued,,,,,,,
,,,,,Project Title:  EO-EG / A.G.,: Spools not Issued for fab.,,,,,,,
,,,,,,: Average Spools Per Drawing,,,,,,,
,,,,,,: Percent Complete,,,,,,,
0,0,,,,,,,,,,,,
In Detailing,In Checking,Priority Group,Priority #,Area,Line No.,Spool ID,Material,ISO,SPOOL,Shop,Status,HOLD,0
ISS,ISS,,1,01X,"3""-BD-020-1055-B135-40-H",MK-02001X-1055-001A,SS,69,69-A,M,11/10/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1055-B135-40-H",MK-02001X-1055-001B,SS,69,69-B,BR,11/10/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1055-B135-40-H",MK-02001X-1055-002A,SS,70,70-A,BR,6/16/2015,,
ISS,ISS,,1,01X,"3""-BD-020-1055-B135-40-H",MK-02001X-1055-002B,SS,70,70-B,BR,11/16/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1055-B135-40-H",MK-02001X-1055-003A,SS,71,71-A,BR,11/10/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1055-B135-40-H",MK-02001X-1055-003B,SS,71,71-B,BR,11/10/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1055-B135-40-H",MK-02001X-1055-004A,SS,72,72-A,BR,11/15/2016,,
ISS,ISS,,1,01X,"3""-BD-020-1055-B135-40-H",MK-02001X-1055-004B,SS,72,72-B,M,11/15/2016,,
ISS,ISS,,1,01X,"6""-HM-020-1086-B135-40-N",MK-02001X-1086-001A,SS,73,73-A,M,11/15/2016,,
ISS,ISS,,1,01X,"6""-HM-020-1086-B135-40-N",MK-02001X-1086-002A,SS,74,74-A,M,11/21/2016,,
ISS,ISS,,1,01X,"6""-HM-020-1086-B135-40-N",MK-02001X-1086-002B,SS,74,74-B,M,11/8/2016,,
ISS,ISS,,1,01X,"10""-CL-020-1133-D021-06-H",MK-02001X-1133-001A,CS,75,75-A,TX,11/30/2016,,
ISS,ISS,,1,01X,"10""-CL-020-1133-D021-06-H",MK-02001X-1133-001B,CS,75,75-B,TX,11/29/2016,,
ISS,ISS,,1,01X,"2""-WB-020-1162-B021-06-H",MK-02001X-1162-001A,CS,76,76-A,PA,11/8/2016,,
ISS,ISS,,1,01X,"2""-WB-020-1162-B021-06-H",MK-02001X-1162-001B,CS,76,76-B,PA,11/8/2016,,
ISS,ISS,,1,01X,"8""-HL-020-1187-B021-07-N",MK-02001X-1187-001A,CS,77,77-A,TX,11/8/2016,,
ISS,ISS,,1,01X,"8""-HL-020-1187-B021-07-N",MK-02001X-1187-001B,CS,77,77-B,PA,11/8/2016,,
ISS,ISS,,1,01X,"8""-HL-020-1187-B021-07-N",MK-02001X-1187-002A,CS,78,78-A,TX,11/8/2016,,
ISS,ISS,,1,01X,"2""-DP-020-1210-B135-40-E",MK-02001X-1210-001A,SS,79,79-A,BR,11/8/2016,,
ISS,ISS,,1,01X,"2""-DP-020-1210-B135-40-E",MK-02001X-1210-001B,SS,79,79-B,BR,11/8/2016,,
ISS,ISS,,1,01X,"2""-DP-020-1210-B135-40-E",MK-02001X-1210-001C,SS,79,79-C,BR,11/8/2016,,
ISS,ISS,,1,01X,"2""-DP-020-1210-B135-40-E",MK-02001X-1210-002A,SS,80,80-A,BR,11/8/2016,,
ISS,ISS,,1,01X,"2""-DP-020-1210-B135-40-E",MK-02001X-1210-002B,SS,80,80-B,BR,11/8/2016,,
ISS,ISS,,1,01X,"2""-DP-020-1210-B135-40-E",MK-02001X-1210-002C,SS,80,80-C,BR,11/8/2016,,
ISS,ISS,,1,01X,"2""-DP-020-1210-B135-40-E",MK-02001X-1210-002CR,SS,80,80-CR,BR,11/8/2016,,
ISS,ISS,,1,01X,"2""-EG-020-2154-A135-01-H",MK-02001X-2154-001A,SS,81,81-A,BR,11/9/2016,,
ISS,ISS,,1,01X,"2""-EG-020-2154-A135-01-H",MK-02001X-2154-001B,SS,81,81-B,BR,11/9/2016,,
ISS,ISS,,1,01X,"2""-EG-020-2154-A135-01-H",MK-02001X-2154-002A,SS,82,82-A,BR,11/15/2016,,
ISS,ISS,,1,01X,"2""-EG-020-2154-A135-01-H",MK-02001X-2154-002B,SS,82,82-B,BR,11/15/2016,,
ISS,ISS,,1,01X,"2""-EG-020-2154-A135-01-H",MK-02001X-2154-002C,SS,82,82-C,BR,11/15/2016,,
ISS,ISS,,1,01X,"2""-EG-020-2154-A135-01-H",MK-02001X-2154-003A,SS,83,83-A,BR,11/15/2016,,
ISS,ISS,,1,01X,"2""-EG-020-2154-A135-01-H",MK-02001X-2154-003B,SS,83,83-B,M,11/15/2016,,
ISS,ISS,,1,01X,"2""-WX-020-2222-A135-01-P",MK-02001X-2222-001A,SS,84,84-A,M,11/15/2016,,
ISS,ISS,,1,01X,"2""-WX-020-2222-A135-01-P",MK-02001X-2222-001B,SS,84,84-B,M,11/15/2016,,
ISS,ISS,,1,01X,"4""-WP-020-3012-B135-40-H",MK-02001X-3012-001A,SS,85,85-A,M,11/15/2016,,
ISS,ISS,,1,01X,"4""-WP-020-3012-B135-40-H",MK-02001X-3012-001B,SS,85,85-B,M,11/15/2016,,
ISS,ISS,,1,01X,"4""-WP-020-3012-B135-40-H",MK-02001X-3012-001C,SS,85,85-C,M,12/20/2016,,
ISS,ISS,,1,01X,"2""-XX-020-3082-A135-01-E",MK-02001X-3082-001A,SS,86,86-A,M,11/23/2016,,
ISS,ISS,,1,01X,"2""-XX-020-3082-A135-01-E",MK-02001X-3082-001B,SS,86,86-B,M,11/23/2016,,
ISS,ISS,,1,01X,"4""-HL-020-3154-B135-40-P",MK-02001X-3154-001A,SS,87,87-A,M,11/9/2016,,
ISS,ISS,,1,01X,"4""-HL-020-3154-B135-40-P",MK-02001X-3154-001B,SS,87,87-B,BR,11/9/2016,,
